Layout,Accuracy,Precision_Alarmist,Recall_Alarmist,F1_Alarmist,Precision_Neutral,Recall_Neutral,F1_Neutral,Precision_Reassuring,Recall_Reassuring,F1_Reassuring,Duration_Seconds
hop_last,1.0,0,0,0,1.0,1.0,1.0,0,0,0,62.351288
standard,1.0,0,0,0,1.0,1.0,1.0,0,0,0,80.54584
