layout,status,duration_seconds,num_results,output_dir,results_path,metrics
hop_last,success,62.351288,3,output\layout_experiments\20250628_075320\hop_last,output\layout_experiments\20250628_075320\hop_last\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 3, 'fp': 0, 'fn': 0}}, 'total_samples': 3, 'correct_samples': 3, 'excluded_unknown': 0}"
standard,success,80.54584,3,output\layout_experiments\20250628_075320\standard,output\layout_experiments\20250628_075320\standard\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 3, 'fp': 0, 'fn': 0}}, 'total_samples': 3, 'correct_samples': 3, 'excluded_unknown': 0}"
